basis,method,registry,distance,energy,energy_err
bn,DFT-D2,0.0,2.6,-164.9712314322658,0.0
bn,DFT-D2,0.0,2.7,-165.00199616274188,0.0
bn,DFT-D2,0.0,2.8,-165.0227810899897,0.0
bn,DFT-D2,0.0,2.9,-165.03604258419875,0.0
bn,DFT-D2,0.0,3.0,-165.04391415267693,0.0
bn,DFT-D2,0.0,3.1,-165.04814480610253,0.0
bn,DFT-D2,0.0,3.2,-165.05001946527247,0.0
bn,DFT-D2,0.0,3.3,-165.0504199145668,0.0
bn,DFT-D2,0.0,3.4,-165.04991915736716,0.0
bn,DFT-D2,0.0,3.5,-165.0488820981185,0.0
bn,DFT-D2,0.0,3.6,-165.04755166630855,0.0
bn,DFT-D2,0.0,3.7,-165.0460719121167,0.0
bn,DFT-D2,0.0,3.8,-165.04455814371488,0.0
bn,DFT-D2,0.0,3.9,-165.04305682451388,0.0
bn,DFT-D2,0.0,4.0,-165.04160972396366,0.0
bn,DFT-D2,0.0,4.2,-165.03894130918914,0.0
bn,DFT-D2,0.0,4.5,-165.03562733872306,0.0
bn,DFT-D2,0.0,5.0,-165.0317232897419,0.0
bn,DFT-D2,0.0,5.5,-165.02926739575145,0.0
bn,DFT-D2,0.0,6.0,-165.02772165399222,0.0
bn,DFT-D2,0.0,6.5,-165.02672445939766,0.0
bn,DFT-D2,0.0,7.0,-165.0260687334573,0.0
bn,DFT-D2,0.0,8.0,-165.0252969850466,0.0
bn,DFT-D2,0.0,9.0,-165.02488861044134,0.0
bn,DFT-D2,0.0,11.0,-165.02451656301236,0.0
bn,DFT-D2,0.16667,2.6,-164.9871044694902,0.0
bn,DFT-D2,0.16667,2.7,-165.01300074608895,0.0
bn,DFT-D2,0.16667,2.8,-165.03076361282095,0.0
bn,DFT-D2,0.16667,2.9,-165.04207313356068,0.0
bn,DFT-D2,0.16667,3.0,-165.0485409355922,0.0
bn,DFT-D2,0.16667,3.1,-165.05167524300106,0.0
bn,DFT-D2,0.16667,3.2,-165.05268121326182,0.0
bn,DFT-D2,0.16667,3.3,-165.0523965483383,0.0
bn,DFT-D2,0.16667,3.4,-165.05136775454264,0.0
bn,DFT-D2,0.16667,3.5,-165.04993616447217,0.0
bn,DFT-D2,0.16667,3.6,-165.04830984304945,0.0
bn,DFT-D2,0.16667,3.7,-165.046625425356,0.0
bn,DFT-D2,0.16667,3.8,-165.04497168848005,0.0
bn,DFT-D2,0.16667,3.9,-165.04333825808743,0.0
bn,DFT-D2,0.16667,4.0,-165.041806904339,0.0
bn,DFT-D2,0.16667,4.2,-165.03904505252964,0.0
bn,DFT-D2,0.16667,4.5,-165.03566686323506,0.0
bn,DFT-D2,0.16667,5.0,-165.03173121505282,0.0
bn,DFT-D2,0.16667,5.5,-165.02926756582252,0.0
bn,DFT-D2,0.16667,6.0,-165.0277222322338,0.0
bn,DFT-D2,0.16667,6.5,-165.0267250376392,0.0
bn,DFT-D2,0.16667,7.0,-165.02606601232048,0.0
bn,DFT-D2,0.16667,8.0,-165.02529535236448,0.0
bn,DFT-D2,0.16667,9.0,-165.0248889165692,0.0
bn,DFT-D2,0.16667,11.0,-165.0245161208276,0.0
bn,DFT-D2,0.33333,2.6,-165.01122020423807,0.0
bn,DFT-D2,0.33333,2.7,-165.03139991664742,0.0
